iter	MultiClass
0	0.9626182681
1	0.8574636943
2	0.7758943277
3	0.7063039693
4	0.6478613805
5	0.596396101
6	0.5544220827
7	0.5192096759
8	0.4892279896
9	0.4645965983
10	0.4420807541
11	0.4211557879
12	0.4031152345
13	0.3862178479
14	0.3706294211
15	0.3580884629
16	0.3469895808
17	0.3370271559
18	0.3244681652
19	0.315408987
20	0.3078718942
21	0.2994766019
22	0.2934353574
23	0.2875505345
24	0.2806770328
25	0.2741861576
26	0.2690460602
27	0.2656533261
28	0.2609103169
29	0.2560012442
30	0.2529204328
31	0.2493980524
32	0.245605213
33	0.2415792052
34	0.2389584491
35	0.234949548
36	0.2306967818
37	0.2277887673
38	0.2250591371
39	0.2222900637
40	0.2190992627
41	0.217237693
42	0.2154968779
43	0.2134446098
44	0.2108373557
45	0.2084286078
46	0.2075570557
47	0.2040844472
48	0.2022203834
49	0.2007296973
50	0.1992702516
51	0.1979290567
52	0.1953877408
53	0.1940035076
54	0.191730207
55	0.1897695147
56	0.1884485883
57	0.1871223723
58	0.1851161437
59	0.1837115126
60	0.1827193367
61	0.1815122918
62	0.1798974313
63	0.1787848213
64	0.1771795123
65	0.1764527797
66	0.175471951
67	0.1738676544
68	0.1734426682
69	0.1729634875
70	0.171600033
71	0.1707301009
72	0.1697416369
73	0.1681571171
74	0.167196726
75	0.1661948203
76	0.1653006916
77	0.1645512075
78	0.1631527556
79	0.1625751971
80	0.1617846041
81	0.1604373682
82	0.1597135042
83	0.1591998975
84	0.1582542017
85	0.157252434
86	0.1568548584
87	0.1558238874
88	0.1545324813
89	0.1537496147
90	0.1529870977
91	0.1526067522
92	0.1518799787
93	0.1512229516
94	0.1506208304
95	0.1495256249
96	0.1478721388
97	0.147279421
98	0.1470311862
99	0.1463628732
