iter	Passed	Remaining
0	106	10500
1	150	7364
2	178	5778
3	210	5060
4	233	4431
5	266	4177
6	314	4173
7	350	4026
8	382	3872
9	409	3682
10	429	3474
11	455	3337
12	477	3193
13	497	3054
14	579	3283
15	679	3565
16	734	3585
17	856	3903
18	959	4090
19	1020	4082
20	1054	3968
21	1093	3875
22	1132	3792
23	1191	3774
24	1217	3651
25	1249	3557
26	1280	3463
27	1304	3355
28	1328	3252
29	1356	3164
30	1376	3064
31	1397	2969
32	1427	2899
33	1448	2812
34	1466	2723
35	1485	2641
36	1511	2573
37	1531	2498
38	1557	2436
39	1576	2364
40	1609	2315
41	1631	2253
42	1650	2188
43	1665	2120
44	1681	2055
45	1731	2032
46	1784	2011
47	1814	1965
48	1829	1904
49	1851	1851
50	1889	1815
51	1922	1774
52	1952	1731
53	1986	1692
54	2007	1642
55	2029	1594
56	2046	1543
57	2075	1502
58	2093	1454
59	2113	1408
60	2143	1370
61	2167	1328
62	2186	1284
63	2209	1243
64	2246	1209
65	2268	1168
66	2294	1130
67	2318	1090
68	2343	1052
69	2371	1016
70	2389	975
71	2408	936
72	2441	902
73	2468	867
74	2494	831
75	2513	793
76	2541	759
77	2562	722
78	2584	686
79	2606	651
80	2626	616
81	2654	582
82	2671	547
83	2700	514
84	2720	480
85	2739	445
86	2774	414
87	2827	385
88	2856	353
89	2905	322
90	2937	290
91	2989	259
92	3131	235
93	3241	206
94	3322	174
95	3361	140
96	3398	105
97	3424	69
98	3463	34
99	3485	0
